MemberGroupDescription
memberGroupName,shortDescription,longDescription,langId,delete
Customers who are under 40 years of age,"Kunden, die unter 40 Jahre alt sind","Kunden, die unter 40 Jahre alt sind",-3,0
Customers who are under 40 years of age,Clienti che hanno meno di 40 anni,Clienti che hanno meno di 40 anni,-4,0
Customers who are under 40 years of age,Clientes que tienen menos de 40 años,Clientes que tienen menos de 40 años,-5,0
Customers who are under 40 years of age,Clientes com menos de 40 anos de idade,Clientes com menos de 40 anos de idade,-6,0
Customers who are under 40 years of age,年龄在 40 岁以下的客户,年龄在 40 岁以下的客户,-7,0
Customers who are under 40 years of age,年齡在 40 歲以下的客戶,年齡在 40 歲以下的客戶,-8,0
Customers who are under 40 years of age,40세 미만의 고객입니다. ,40세 미만의 고객입니다. ,-9,0
Customers who are under 40 years of age,40 歳未満の顧客,40 歳未満の顧客,-10,0
Customers who are under 40 years of age,Покупатели моложе 40 лет,Покупатели моложе 40 лет,-20,0
Customers who are under 40 years of age,Clienţi care au vârsta sub 40 de ani,Clienţi care au vârsta sub 40 de ani,-21,0
Customers who are under 40 years of age,Klienci poniżej 40. roku życia,Klienci poniżej 40. roku życia,-22,0
Customers who are 40 years of age or older,Customers who are 40 years of age or older,Customers who are 40 years of age or older,-1,0
Customers who are 40 years of age or older,Clients âgés de 40 ans ou plus,Clients âgés de 40 ans ou plus,-2,0
Customers who are 40 years of age or older,"Kunden, die das 40. Lebensjahr überschritten haben","Kunden, die das 40. Lebensjahr überschritten haben",-3,0
Customers who are 40 years of age or older,Clienti di 40 anni di età o più,Clienti di 40 anni di età o più,-4,0
Customers who are 40 years of age or older,Clientes que tienen 40 años o más,Clientes que tienen 40 años o más,-5,0
Customers who are 40 years of age or older,Clientes com 40 anos ou mais,Clientes com 40 anos ou mais,-6,0
Customers who are 40 years of age or older,年龄在 40 岁或 40 岁以上的客户,年龄在 40 岁或 40 岁以上的客户,-7,0
Customers who are 40 years of age or older,年齡在 40 歲（含）以上的客戶,年齡在 40 歲（含）以上的客戶,-8,0
Customers who are 40 years of age or older,40세 이상의 고객입니다. ,40세 이상의 고객입니다. ,-9,0
Customers who are 40 years of age or older,40 歳以上の顧客,40 歳以上の顧客,-10,0
Customers who are 40 years of age or older,Покупатели 40 лет и старше,Покупатели 40 лет и старше,-20,0
Customers who are 40 years of age or older,Clienţi care au vârsta de 40 de ani sau mai în vârstă,Clienţi care au vârsta de 40 de ani sau mai în vârstă,-21,0
Customers who are 40 years of age or older,Klienci w wieku co najmniej 40 lat,Klienci w wieku co najmniej 40 lat,-22,0
