MarketingContentAttachmentDescription
contentName,attachmentIdentifier,usageName,relationName,relationShortDescription,relationLongDescription,languageId,delete
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,marque2,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,Display a brand,,-1,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,marka3,Wyświetl markę,,-22,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,Показать бренд,,-20,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,브랜드3,브랜드 표시,,-9,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,顯示品牌,,-8,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,显示品牌,,-7,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,marca3,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,marchio3,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,marque3,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,Display a brand,,-1,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,marka4,Wyświetl markę,,-22,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,Показать бренд,,-20,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,브랜드4,브랜드 표시,,-9,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,顯示品牌,,-8,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,显示品牌,,-7,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,marca4,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,marchio4,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,marque4,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,Display a brand,,-1,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,marka5,Wyświetl markę,,-22,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,Показать бренд,,-20,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,브랜드5,브랜드 표시,,-9,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,顯示品牌,,-8,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,显示品牌,,-7,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,marca5,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,marchio5,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,marque5,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,Display a brand,,-1,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% rabatu od wartości zakupów,15% rabatu od całej wartości zakupów,,-22,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% reducere la cumpărătură,Economisiţi 15% pentru întreaga cumpărătură,,-21,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,Скидка 15%,Сэкономьте 15% от суммы покупки,,-20,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,購入額の 15% 割引,総購入額の 15% 割引,,-10,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% 할인 구매,전체 15% 할인 구매,,-9,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,購物打八五折,全面可享 15% 折扣,,-8,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% 购物折扣,购物总额享 15% 折扣,,-7,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% de Desconto,Ganhe 15% de Desconto na Compra Inteira,,-6,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% de descuento de su compra,Ahórrese un 15% en toda su compra,,-5,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% di sconto sugli acquisti,Risparmio del 15% sull'intero acquisto,,-4,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% auf gesamten Einkauf,Sparen Sie 15% auf Ihren gesamten Einkauf,,-3,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% de remise sur les achats,Economisez 15 % sur la totalité de vos achats,,-2,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% Off Purchase,Save 15% Off Your Entire Purchase,,-1,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Bezpłatna dostawa,Bezpłatna dostawa,,-22,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Livrare gratuită,Livrare gratuită,,-21,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Бесплатная доставка,Бесплатная доставка,,-20,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,配送料無料,配送料無料,,-10,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,무료 배송,무료 배송,,-9,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,不收運費,不收運費,,-8,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,免费送货,免费送货,,-7,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Entrega Grátis,Entrega Grátis,,-6,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Envío gratis,Envío gratis,,-5,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Spedizione gratuita,Spedizione gratuita,,-4,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Kostenloser Versand,Kostenloser Versand,,-3,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Livraison gratuite,Livraison gratuite,,-2,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Free Shipping,Free Shipping,,-1,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Wygodne swetry,Wygodne swetry,,-22,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Pulovere confortabile,Pulovere confortabile,,-21,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Уютные свитеры,Уютные свитеры,,-20,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,暖かいセーター,暖かいセーター,,-10,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,포근한 스웨터,포근한 스웨터,,-9,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,保暖毛衣,保暖毛衣,,-8,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,舒适毛衣,舒适毛衣,,-7,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Suéteres Confortáveis,Suéteres Confortáveis,,-6,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Jerséis cómodos,Jerséis cómodos,,-5,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Maglioni comodi,Maglioni comodi,,-4,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Wohlfühlpullover,Wohlfühlpullover,,-3,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Pulls tout doux,Pulls tout doux,,-2,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Cozy Sweaters,Cozy Sweaters,,-1,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Spodnie dżinsowe,Spodnie dżinsowe,,-22,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Blugi,Blugi,,-21,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Джинсы,Джинсы,,-20,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,ジーンズ,ジーンズ,,-10,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,청바지,청바지,,-9,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,牛仔褲 ,牛仔褲 ,,-8,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,牛仔裤,牛仔裤,,-7,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Confortáveis,Confortáveis,,-6,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Tejanos,Tejanos,,-5,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Jeans,Jeans,,-4,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Jeans,Jeans,,-3,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Jeans,Jeans,,-2,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Jeans,Jeans,,-1,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Koszulki,Koszulki,,-22,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Bluze,Bluze,,-21,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Футболки,Футболки,,-20,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,トップス,トップス,,-10,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,상의,상의,,-9,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,上衣,上衣,,-8,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,上装,上装,,-7,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Blusas,Blusas,,-6,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Partes de arriba,Partes de arriba,,-5,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Maglie,Maglie,,-4,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Oberteile,Oberteile,,-3,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Hauts,Hauts,,-2,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Tops,Tops,,-1,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Wyprzedaż obuwia,Wyprzedaż obuwia,,-22,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Reduceri pantofi,Reduceri pantofi,,-21,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Распродажа обуви,Распродажа обуви,,-20,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,靴の特売,靴の特売,,-10,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,신발 판매,신발 판매,,-9,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,鞋子特賣,鞋子特賣,,-8,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,鞋子促销,鞋子促销,,-7,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Venda de Sapatos,Venda de Sapatos,,-6,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Venta de calzado,Venta de calzado,,-5,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Offerta scarpe,Offerta scarpe,,-4,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Schuhe - Angebote,Schuhe - Angebote,,-3,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Soldes sur les chaussures,Soldes sur les chaussures,,-2,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Shoe Sale,Shoe Sale,,-1,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Wygodne swetry,Wygodne swetry,,-22,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Pulovere confortabile,Pulovere confortabile,,-21,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Уютные свитеры,Уютные свитеры,,-20,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,暖かいセーター,暖かいセーター,,-10,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,포근한 스웨터,포근한 스웨터,,-9,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,保暖毛衣,保暖毛衣,,-8,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,舒适毛衣,舒适毛衣,,-7,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Suéteres Confortáveis,Suéteres Confortáveis,,-6,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Jerséis cómodos,Jerséis cómodos,,-5,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Maglioni comodi,Maglioni comodi,,-4,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Wohlfühlpullover,Wohlfühlpullover,,-3,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Pulls tout doux,Pulls tout doux,,-2,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Cozy Sweaters,Cozy Sweaters,,-1,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Spodnie dżinsowe,Spodnie dżinsowe,,-22,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Blugi,Blugi,,-21,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Джинсы,Джинсы,,-20,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,ジーンズ,ジーンズ,,-10,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,청바지,청바지,,-9,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,牛仔褲 ,牛仔褲 ,,-8,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,牛仔裤,牛仔裤,,-7,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Confortáveis,Confortáveis,,-6,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Tejanos,Tejanos,,-5,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Jeans,Jeans,,-4,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Jeans,Jeans,,-3,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Jeans,Jeans,,-2,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Jeans,Jeans,,-1,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Wyprzedaż odzieży chłopięcej,Wyprzedaż odzieży chłopięcej,,-22,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Reducere băieţi,Reducere băieţi,,-21,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Распродажа одежды для мальчиков,Распродажа одежды для мальчиков,,-20,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,男の子向け特売,男の子向け特売,,-10,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,남아용 의류 할인,남아용 의류 할인,,-9,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,男童裝特賣,男童裝特賣,,-8,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,男孩服饰促销,男孩服饰促销,,-7,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Venda para Meninos,Venda para Meninos,,-6,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Venta para niños,Venta para niños,,-5,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Vendita articoli per ragazzi,Vendita articoli per ragazzi,,-4,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Angebote - Jungen,Angebote - Jungen,,-3,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Soldes pour garçon,Soldes pour garçon,,-2,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Boys Sale,Boys Sale,,-1,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Wyprzedaż sukienek,Wyprzedaż sukienek,,-22,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Reducere rochii,Reducere rochii,,-21,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Распродажа платьев,Распродажа платьев,,-20,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,ドレスの特売,ドレスの特売,,-10,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,드레스 판매,드레스 판매,,-9,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,洋裝特賣,洋裝特賣,,-8,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,礼服促销,礼服促销,,-7,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Venda de Vestidos,Venda de Vestidos,,-6,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Venta de vestidos,Venta de vestidos,,-5,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Offerta abiti,Offerta abiti,,-4,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Kleider - Angebote,Kleider - Angebote,,-3,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Robes en solde,Robes en solde,,-2,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Dress Sale,Dress Sale,,-1,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Wyprzedaż obuwia,Wyprzedaż obuwia,,-22,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Reduceri pantofi,Reduceri pantofi,,-21,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Распродажа обуви,Распродажа обуви,,-20,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,靴の特売,靴の特売,,-10,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,신발 판매,신발 판매,,-9,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,鞋子特賣,鞋子特賣,,-8,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,鞋子促销,鞋子促销,,-7,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Venda de Sapatos,Venda de Sapatos,,-6,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Venta de calzado,Venta de calzado,,-5,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Offerta scarpe,Offerta scarpe,,-4,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Schuhe - Angebote,Schuhe - Angebote,,-3,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Soldes sur les chaussures,Soldes sur les chaussures,,-2,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Shoe Sale,Shoe Sale,,-1,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Dżins,Dżins,,-22,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Denim,Denim,,-21,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Джинсовая ткань,Джинсовая ткань,,-20,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,デニム,デニム,,-10,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,데님,데님,,-9,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,丹寧布,丹寧布,,-8,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,牛仔色,牛仔色,,-7,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Denim,Denim,,-6,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Denim,Denim,,-5,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Denim,Denim,,-4,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Denim,Denim,,-3,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Denim,Denim,,-2,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Denim,Denim,,-1,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Letnia wyprzedaż,Letnia wyprzedaż,,-22,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Reducere de vară,Reducere de vară,,-21,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Летняя распродажа,Летняя распродажа,,-20,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,夏の在庫一掃,夏の在庫一掃,,-10,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,하절기 창고 정리,하절기 창고 정리,,-9,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,夏季清倉大拍賣,夏季清倉大拍賣,,-8,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,夏季大减价,夏季大减价,,-7,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Liquidação de Verão,Liquidação de Verão,,-6,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Liquidación de verano,Liquidación de verano,,-5,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Svendita abiti estivi,Svendita abiti estivi,,-4,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Sommerschlussverkauf,Sommerschlussverkauf,,-3,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Soldes d'été,Soldes d'été,,-2,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Summer Clearance,Summer Clearance,,-1,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,Wyprzedaż obuwia 1,Wyprzedaż obuwia 1,,-22,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,Reducere încălţăminte 1,Reducere încălţăminte 1,,-21,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,Распродажа обуви 1,Распродажа обуви 1,,-20,0
