CatalogEntryAssociation
PartNumber,AssociationType,TargetPartNumber,Sequence,Quantity
BDG11,SHOPPING_CART,BDG64,400,1
BDG11,SHOPPING_CART,CBN18,300,1
BDG11,SHOPPING_CART,Y4507,200,1
BDG11,SHOPPING_CART,CBN20,100,1
BDG11,QUICK,CMF02,0,1
BDG12,YMAL,BDG16,0,1
BDG12,YMAL,BDG14,0,1
BDG12,YMAL,BDG13,0,1
BDG12,YMAL,BDG15,0,1
BDG12,YMAL,CLC27,0,1
BDG12,YMAL,CDK33,0,1
BDG13,YMAL,BDG12,0,1
BDG13,YMAL,BDG14,0,1
BDG13,YMAL,BDG16,0,1
BDG13,YMAL,BDG15,0,1
BDG13,YMAL,CLC27,0,1
BDG13,YMAL,CDK33,0,1
BDG13,MINI_CART,Y4508,0,1
BDG13,SHOPPING_CART,Y4116,0,1
BDG13,MINI_CART,Y4114,0,1
BDG13,MINI_CART,Y4116,0,1
BDG13,SHOPPING_CART,Y4508,0,1
BDG13,MINI_CART,BJP94,1,1
BDG13,SHOPPING_CART,BJP94,1,1
BDG13,MINI_CART,Y4471,1,1
BDG13,SHOPPING_CART,Y4471,1,1
BDG13,MINI_CART,CBN20,1,1
BDG13,GIFTMSG,GM,100,1
BDG13,GIFTWRAP,GW6_TWR,100,1
BDG13,QUICK,CBN20,100,1
BDG13,SHOPPING_CART,BDG64,400,1
BDG13,SHOPPING_CART,CBN18,300,1
BDG13,SHOPPING_CART,CBN20,100,1
BDG14,YMAL,BDG12,0,1
BDG14,YMAL,BDG16,0,1
BDG14,YMAL,CDK33,0,1
BDG14,YMAL,BDG15,0,1
BDG14,YMAL,BDG13,0,1
BDG14,YMAL,CLC27,0,1
BDG14,MINI_CART,Y4471,1,1
BDG14,SHOPPING_CART,BJP94,1,1
BDG14,MINI_CART,BJP94,1,1
BDG14,SHOPPING_CART,Y4471,1,1
BDG14,MINI_CART,CBN20,1,1
BDG14,GIFTMSG,GM,100,1
BDG14,GIFTWRAP,GW6_TWR,100,1
BDG14,QUICK,CBN20,100,1
BDG14,SHOPPING_CART,BDG64,400,1
BDG14,SHOPPING_CART,CBN18,300,1
BDG14,SHOPPING_CART,CBN20,100,1
BDG17,GIFTWRAP,GW6_FP,1,1
BDG17,MINI_CART,Y4471,1,1
BDG17,SHOPPING_CART,BJP94,1,1
BDG17,MINI_CART,BJP94,1,1
BDG17,SHOPPING_CART,Y4471,1,1
BDG17,MINI_CART,CBN20,1,1
BDG17,GIFTMSG,GM,100,1
BDG17,GIFTWRAP,GW6_TWR,100,1
BDG17,QUICK,CBN20,100,1
BDG17,COORD,CCX58,400,1
BDG17,COORD,BJP99,300,1
BDG17,COORD,BJP89,100,1
BDG17,SHOPPING_CART,BDG64,400,1
BDG17,SHOPPING_CART,CBN18,300,1
BDG17,SHOPPING_CART,Y4105,200,1
BDG17,SHOPPING_CART,CBN20,100,1
BDG18,MINI_CART,Y4471,1,1
BDG18,SHOPPING_CART,BJP94,1,1
BDG18,MINI_CART,BJP94,1,1
BDG18,SHOPPING_CART,Y4471,1,1
BDG18,MINI_CART,CBN20,1,1
BDG18,GIFTMSG,GM,100,1
BDG18,GIFTWRAP,GW6_TWR,100,1
BDG18,QUICK,CBN20,100,1
BDG18,COORD,CCX58,400,1
BDG18,COORD,BJP99,300,1
BDG18,COORD,BJP89,100,1
BDG18,SHOPPING_CART,BDG64,400,1
BDG18,SHOPPING_CART,CBN18,300,1
BDG18,SHOPPING_CART,Y4105,200,1
BDG18,SHOPPING_CART,CBN20,100,1
BDG19,GIFTWRAP,GW6_FP,1,1
BDG19,MINI_CART,Y4471,1,1
BDG19,SHOPPING_CART,BJP94,1,1
BDG19,MINI_CART,BJP94,1,1
BDG19,SHOPPING_CART,Y4471,1,1
BDG19,MINI_CART,CBN20,1,1
BDG19,GIFTMSG,GM,100,1
BDG19,GIFTWRAP,GW6_TWR,100,1
BDG19,QUICK,CBN20,100,1
BDG19,COORD,CCX58,400,1
BDG19,COORD,BJP99,300,1
BDG19,COORD,BJP89,100,1
BDG19,SHOPPING_CART,BDG64,400,1
BDG19,SHOPPING_CART,CBN18,300,1
BDG19,SHOPPING_CART,Y4105,200,1
BDG19,SHOPPING_CART,CBN20,100,1
BDG54,GIFTWRAP,GW6_FP,1,1
BDG54,MINI_CART,Y4471,1,1
BDG54,SHOPPING_CART,BJP94,1,1
BDG54,MINI_CART,BJP94,1,1
BDG54,SHOPPING_CART,Y4471,1,1
BDG54,MINI_CART,CBN20,1,1
BDG54,GIFTMSG,GM,100,1
BDG54,GIFTWRAP,GW6_TWR,100,1
BDG54,QUICK,CBN20,100,1
BDG54,COORD,Y4499,400,1
BDG54,COORD,CCX58,300,1
BDG54,COORD,BDG57,200,1
BDG54,COORD,BJP89,100,1
BDG54,SHOPPING_CART,CBN20,500,1
BDG54,SHOPPING_CART,BDG17,400,1
BDG54,SHOPPING_CART,BMF69,300,1
BDG54,SHOPPING_CART,CBN18,200,1
BDG54,SHOPPING_CART,BDG01,100,1
BDG56,GIFTWRAP,GW6_FP,1,1
BDG56,SHOPPING_CART,BJP94,1,1
BDG56,MINI_CART,Y4471,1,1
BDG56,MINI_CART,BJP94,1,1
BDG56,SHOPPING_CART,Y4471,1,1
BDG56,MINI_CART,CBN20,1,1
BDG56,GIFTMSG,GM,100,1
BDG56,GIFTWRAP,GW6_TWR,100,1
BDG56,QUICK,CBN20,100,1
BDG56,COORD,Y4499,400,1
BDG56,COORD,CCX58,300,1
BDG56,COORD,BDG57,200,1
BDG56,COORD,BJP89,100,1
BDG56,SHOPPING_CART,CBN20,500,1
BDG56,SHOPPING_CART,BDG17,400,1
BDG56,SHOPPING_CART,BMF69,300,1
BDG56,SHOPPING_CART,CBN18,200,1
BDG56,SHOPPING_CART,BDG01,100,1
BDG57,COORD,Y4088,0,1
BDG57,COORD,Y4473,0,1
BDG57,COORD,Y4500,0,1
BDG57,COORD,BHV81,0,1
BDG57,COORD,BHV88,0,1
BDG57,COORD,BHV84,0,1
BDG57,COORD,BHV83,0,1
BDG57,COORD,CGL54,0,1
BDG57,MINI_CART,BHV88,0,1
BDG57,MINI_CART,Y4473,0,1
BDG57,MINI_CART,Y4500,0,1
BDG57,MINI_CART,BHV83,0,1
BDG57,MINI_CART,CGL54,0,1
BDG57,GIFTWRAP,GW6_FP,1,1
BDG57,COORD,Y4083,0,1
BDG57,COORD,Y4093,0,1
BDG57,YMAL,BHV78,0,1
BDG57,YMAL,Y4412,0,1
BDG57,YMAL,BHV79,0,1
BDG57,MINI_CART,BJP94,1,1
BDG57,SHOPPING_CART,BJP94,1,1
BDG57,MINI_CART,Y4471,1,1
BDG57,SHOPPING_CART,Y4471,1,1
BDG57,MINI_CART,CBN20,1,1
BDG57,GIFTMSG,GM,100,1
BDG57,GIFTWRAP,GW6_TWR,100,1
BDG57,QUICK,CBN20,100,1
BDG57,COORD,CCX61,200,1
BDG57,COORD,BDG56,100,1
BDG57,SHOPPING_CART,Y4473,500,1
BDG57,SHOPPING_CART,CBN18,400,1
BDG57,SHOPPING_CART,BDF98,200,1
BDG57,SHOPPING_CART,BDG01,100,1
BDG57,SHOPPING_CART,CCX57,30,1
BDG57,SHOPPING_CART,CBN20,300,1
BDG57,SHOPPING_CART,Y4083,20,1
BDG57,YMAL,CBN18,30,1
BDG58,COORD,Y4088,0,1
BDG58,COORD,Y4473,0,1
BDG58,COORD,Y4500,0,1
BDG58,COORD,BHV81,0,1
BDG58,COORD,BHV88,0,1
BDG58,COORD,BHV84,0,1
BDG58,COORD,BHV83,0,1
BDG58,COORD,CGL54,0,1
BDG58,MINI_CART,BHV88,0,1
BDG58,MINI_CART,Y4473,0,1
BDG58,MINI_CART,Y4500,0,1
BDG58,MINI_CART,BHV83,0,1
BDG58,MINI_CART,CGL54,0,1
BDG58,GIFTWRAP,GW6_FP,1,1
BDG58,COORD,BDG54,0,1
BDG58,COORD,Y4388,0,1
BDG58,COORD,Y4415,0,1
BDG58,COORD,Y4412,0,1
BDG58,SHOPPING_CART,BJP94,1,1
BDG58,MINI_CART,BJP94,1,1
BDG58,MINI_CART,Y4471,1,1
BDG58,SHOPPING_CART,Y4471,1,1
BDG58,MINI_CART,CBN20,1,1
BDG58,GIFTMSG,GM,100,1
BDG58,GIFTWRAP,GW6_TWR,100,1
BDG58,QUICK,CBN20,100,1
BDG58,COORD,Y4418,100,1
BDG58,SHOPPING_CART,Y4485,500,1
BDG58,SHOPPING_CART,CBN18,400,1
BDG58,SHOPPING_CART,Y4473,200,1
BDG58,SHOPPING_CART,Y4415,100,1
BDG58,SHOPPING_CART,BDG17,40,1
BDG58,SHOPPING_CART,CBN20,300,1
BDG58,YMAL,CBN20,30,1
BDG58,YMAL,BDG57,20,1
BDG58,YMAL,Y4091,40,1
BDG64,GIFTWRAP,GW6_FP,1,1
BDG64,MINI_CART,Y4471,1,1
BDG64,SHOPPING_CART,BJP94,1,1
BDG64,MINI_CART,BJP94,1,1
BDG64,MINI_CART,CBN20,1,1
BDG64,GIFTMSG,GM,100,1
BDG64,GIFTWRAP,GW6_TWR,100,1
BDG64,QUICK,CBN20,100,1
BDG64,COORD,BMF69,400,1
BDG64,COORD,BGP34,300,1
BDG64,COORD,Y4473,200,1
BDG64,COORD,Y7465,100,1
BDG64,SHOPPING_CART,BCG12,500,1
BDG64,SHOPPING_CART,Y4471,1,1
BDG64,SHOPPING_CART,CBN18,300,1
BDG64,SHOPPING_CART,CBN20,200,1
BDG64,SHOPPING_CART,BDG67,100,1
BDG65,GIFTWRAP,GW6_FP,1,1
BDG65,MINI_CART,BJP94,1,1
BDG65,SHOPPING_CART,BJP94,1,1
BDG65,MINI_CART,Y4471,1,1
BDG65,MINI_CART,CBN20,1,1
BDG65,GIFTMSG,GM,100,1
BDG65,GIFTWRAP,GW6_TWR,100,1
BDG65,QUICK,CBN20,100,1
BDG65,COORD,BMF69,400,1
BDG65,COORD,BDG64,300,1
BDG65,COORD,Y4473,200,1
BDG65,COORD,Y7465,100,1
BDG65,SHOPPING_CART,BCG12,500,1
BDG65,SHOPPING_CART,Y4471,1,1
BDG65,SHOPPING_CART,CBN18,300,1
BDG65,SHOPPING_CART,CBN20,200,1
BDG65,SHOPPING_CART,BDG67,100,1
BDG67,GIFTWRAP,GW6_FP,1,1
BDG67,MINI_CART,BJP94,1,1
BDG67,SHOPPING_CART,BJP94,1,1
BDG67,MINI_CART,Y4471,1,1
BDG67,SHOPPING_CART,Y4471,1,1
BDG67,MINI_CART,CBN20,1,1
BDG67,GIFTMSG,GM,100,1
BDG67,GIFTWRAP,GW6_TWR,100,1
BDG67,QUICK,CBN20,100,1
BDG67,COORD,Y4412,300,1
BDG67,COORD,Y4413,200,1
BDG67,COORD,Y5195,100,1
BDG67,SHOPPING_CART,Y4499,500,1
BDG67,SHOPPING_CART,BDG64,400,1
BDG67,SHOPPING_CART,CBN18,300,1
BDG67,SHOPPING_CART,CBN20,200,1
BGP34,GIFTWRAP,GW6_FP,1,1
BGP34,SHOPPING_CART,BJP94,1,1
BGP34,MINI_CART,Y4471,1,1
BGP34,MINI_CART,BJP94,1,1
BGP34,MINI_CART,CBN20,1,1
BGP34,GIFTMSG,GM,100,1
BGP34,GIFTWRAP,GW6_TWR,100,1
BGP34,QUICK,CBN20,100,1
BGP34,COORD,BMF69,400,1
BGP34,COORD,BDG64,300,1
BGP34,COORD,Y4473,200,1
BGP34,COORD,Y7465,100,1
BGP34,SHOPPING_CART,BCG12,500,1
BGP34,SHOPPING_CART,Y4471,1,1
BGP34,SHOPPING_CART,CBN18,300,1
BGP34,SHOPPING_CART,CBN20,200,1
BGP34,SHOPPING_CART,BDG67,100,1
BHV76,COORD,BHV85,0,1
BHV76,GIFTWRAP,GW6_FP,1,1
BHV76,SHOPPING_CART,BJP94,1,1
BHV76,MINI_CART,Y4471,1,1
BHV76,MINI_CART,BJP94,1,1
BHV76,SHOPPING_CART,Y4471,1,1
BHV76,MINI_CART,CBN20,1,1
BHV76,GIFTMSG,GM,100,1
BHV76,COORD,BDG67,200,1
BHV76,COORD,BHV86,100,1
BHV76,SHOPPING_CART,Y4088,500,1
BHV76,SHOPPING_CART,BLN06,400,1
BHV76,SHOPPING_CART,BHV91,300,1
BHV76,SHOPPING_CART,Y4089,200,1
BHV76,SHOPPING_CART,CBN20,100,1
BHV77,GIFTWRAP,GW6_FP,1,1
BHV77,MINI_CART,Y4471,1,1
BHV77,SHOPPING_CART,BJP94,1,1
BHV77,MINI_CART,BJP94,1,1
BHV77,SHOPPING_CART,Y4471,1,1
BHV77,MINI_CART,CBN20,1,1
BHV77,GIFTMSG,GM,100,1
BHV77,COORD,CCR57,400,1
BHV77,SHOPPING_CART,CBN20,100,1
BHV77,SHOPPING_CART,BLN06,400,1
BHV77,SHOPPING_CART,BHV91,300,1
BHV77,QUICK,Y4473,100,1
BHV77,COORD,BDG67,200,1
BHV77,COORD,BHV86,100,1
BHV77,SHOPPING_CART,Y4088,500,1
BHV77,SHOPPING_CART,Y4089,200,1
BHV78,GIFTWRAP,GW6_FP,1,1
BHV78,SHOPPING_CART,BJP94,1,1
BHV78,MINI_CART,BJP94,1,1
BHV78,MINI_CART,Y4471,1,1
BHV78,SHOPPING_CART,Y4471,1,1
BHV78,MINI_CART,CBN20,1,1
BHV78,GIFTMSG,GM,100,1
BHV78,COORD,CCR57,400,1
BHV78,SHOPPING_CART,CBN20,100,1
BHV78,SHOPPING_CART,BLN06,400,1
BHV78,SHOPPING_CART,BHV91,300,1
BHV78,COORD,BDG67,200,1
BHV78,COORD,BHV86,100,1
BHV78,SHOPPING_CART,Y4088,500,1
BHV78,SHOPPING_CART,Y4089,200,1
BHV79,GIFTWRAP,GW6_FP,1,1
BHV79,MINI_CART,BJP94,1,1
BHV79,SHOPPING_CART,BJP94,1,1
BHV79,MINI_CART,Y4471,1,1
BHV79,SHOPPING_CART,Y4471,1,1
BHV79,MINI_CART,CBN20,1,1
BHV79,GIFTMSG,GM,100,1
BHV79,COORD,CCR57,400,1
BHV79,COORD,BDG67,200,1
BHV79,COORD,BHV86,100,1
BHV79,SHOPPING_CART,Y4088,500,1
BHV79,SHOPPING_CART,BLN06,400,1
BHV79,SHOPPING_CART,BHV91,300,1
BHV79,SHOPPING_CART,Y4089,200,1
BHV79,SHOPPING_CART,CBN20,100,1
BHV80,GIFTWRAP,GW6_FP,1,1
BHV80,MINI_CART,BJP94,1,1
BHV80,SHOPPING_CART,BJP94,1,1
BHV80,MINI_CART,Y4471,1,1
BHV80,SHOPPING_CART,Y4471,1,1
BHV80,MINI_CART,CBN20,1,1
BHV80,GIFTMSG,GM,100,1
BHV80,COORD,CCR57,400,1
BHV80,COORD,BDG67,200,1
BHV80,COORD,BHV86,100,1
BHV80,SHOPPING_CART,Y4088,500,1
BHV80,SHOPPING_CART,BLN06,400,1
BHV80,SHOPPING_CART,BHV91,300,1
BHV80,SHOPPING_CART,Y4089,200,1
BHV80,SHOPPING_CART,CBN20,100,1
BHV81,GIFTWRAP,GW6_FP,1,1
BHV81,SHOPPING_CART,BJP94,1,1
BHV81,MINI_CART,Y4471,1,1
BHV81,MINI_CART,BJP94,1,1
BHV81,SHOPPING_CART,Y4471,1,1
BHV81,MINI_CART,CBN20,1,1
BHV81,GIFTMSG,GM,100,1
BHV81,COORD,CCR57,400,1
BHV81,COORD,BDG67,200,1
BHV81,COORD,BHV86,100,1
BHV81,SHOPPING_CART,Y4088,500,1
BHV81,SHOPPING_CART,BLN06,400,1
BHV81,SHOPPING_CART,BHV91,300,1
BHV81,SHOPPING_CART,Y4089,200,1
BHV81,SHOPPING_CART,CBN20,100,1
BHV82,GIFTWRAP,GW6_FP,1,1
BHV82,MINI_CART,Y4471,1,1
BHV82,SHOPPING_CART,BJP94,1,1
BHV82,MINI_CART,BJP94,1,1
BHV82,SHOPPING_CART,Y4471,1,1
BHV82,MINI_CART,CBN20,1,1
BHV82,GIFTMSG,GM,100,1
BHV82,COORD,CCR57,400,1
BHV82,COORD,BDG67,200,1
BHV82,COORD,BHV86,100,1
BHV82,SHOPPING_CART,Y4088,500,1
BHV82,SHOPPING_CART,BLN06,400,1
BHV82,SHOPPING_CART,BHV91,300,1
BHV82,SHOPPING_CART,Y4089,200,1
BHV82,SHOPPING_CART,CBN20,100,1
BHV83,GIFTWRAP,GW6_FP,1,1
BHV83,MINI_CART,BJP94,1,1
BHV83,MINI_CART,Y4471,1,1
BHV83,SHOPPING_CART,BJP94,1,1
BHV83,SHOPPING_CART,Y4471,1,1
BHV83,MINI_CART,CBN20,1,1
BHV83,GIFTMSG,GM,100,1
BHV83,COORD,CCR57,400,1
BHV83,COORD,BDG67,200,1
BHV83,COORD,BHV86,100,1
BHV83,SHOPPING_CART,Y4088,500,1
BHV83,SHOPPING_CART,BLN06,400,1
BHV83,SHOPPING_CART,BHV91,300,1
BHV83,SHOPPING_CART,Y4089,200,1
BHV83,SHOPPING_CART,CBN20,100,1
BHV84,GIFTWRAP,GW6_FP,1,1
BHV84,SHOPPING_CART,BJP94,1,1
BHV84,MINI_CART,BJP94,1,1
BHV84,MINI_CART,Y4471,1,1
BHV84,SHOPPING_CART,Y4471,1,1
BHV84,MINI_CART,CBN20,1,1
BHV84,GIFTMSG,GM,100,1
BHV84,COORD,CCR57,400,1
BHV84,COORD,BDG67,200,1
BHV84,COORD,BHV86,100,1
BHV84,SHOPPING_CART,Y4088,500,1
BHV84,SHOPPING_CART,BLN06,400,1
BHV84,SHOPPING_CART,BHV91,300,1
BHV84,SHOPPING_CART,Y4089,200,1
BHV84,SHOPPING_CART,CBN20,100,1
BHV85,GIFTWRAP,GW6_FP,1,1
BHV85,MINI_CART,Y4471,1,1
BHV85,MINI_CART,BJP94,1,1
BHV85,SHOPPING_CART,BJP94,1,1
BHV85,SHOPPING_CART,Y4471,1,1
BHV85,MINI_CART,CBN20,1,1
BHV85,GIFTMSG,GM,100,1
BHV85,COORD,CCR57,400,1
BHV85,COORD,BDG67,200,1
BHV85,COORD,BHV86,100,1
