AttributeDictionaryAttributeAllowedValues
Identifier,ValueIdentifier,ValueUsage,Value,UnitOfMeasure,Image1,Image2,LanguageId
hardware_lightingWatts,40,1,40,C62,,,-1
hardware_lightingWatts,15,1,15,C62,,,-1
hardware_lightingWatts,25,1,25,C62,,,-1
hardware_lightingWatts,60,1,60,C62,,,-1
hardware_lightingWatts,100,1,100,C62,,,-1
hardware_lightingWatts,8,1,8,C62,,,-1
hardware_lightingWatts,9,1,9,C62,,,-1
hardware_lightingWatts,50,1,50,C62,,,-1
hardware_lightingWatts,0.1,1,0.1,C62,,,-1
hardware_lightingWatts,0.25,1,0.25,C62,,,-1
hardware_lightingFinish,Frosted,1,Frosted,C62,,,-1
hardware_lightingFinish,Yellow,1,Yellow,C62,,,-1
hardware_lightingFinish,Clear,1,Clear,C62,,,-1
hardware_fasteners_boltsThread size,"1/4""-20",1,"1/4""-20",C62,,,-1
hardware_fasteners_boltsThread size,"1/4""-28",1,"1/4""-28",C62,,,-1
hardware_fasteners_boltsThread size,"3/4""-10",1,"3/4""-10",C62,,,-1
hardware_fasteners_boltsThread size,"1""-8",1,"1""-8",C62,,,-1
hardware_fasteners_boltsThread size,"3/8""-16",1,"3/8""-16",C62,,,-1
hardware_fasteners_boltsThread size,"5/16""-18",1,"5/16""-18",C62,,,-1
hardware_fasteners_boltsThread size,"7/16""-14",1,"7/16""-14",C62,,,-1
hardware_fasteners_boltsFinish,Unfinished,1,Unfinished,C62,,,-1
hardware_fasteners_boltsFinish,Black oxide,1,Black oxide,C62,,,-1
hardware_fasteners_boltsFinish,Zinc,1,Zinc,C62,,,-1
hardware_fasteners_boltsFinish,Hot dipped galvanized,1,Hot dipped galvanized,C62,,,-1
hardware_fasteners_boltsShank length,"1 3/4""",1,"1 3/4""",C62,,,-1
hardware_fasteners_boltsLength,"3 1/4""",1,"3 1/4""",C62,,,-1
hardware_fasteners_boltsLength,"4 3/8""",1,"4 3/8""",C62,,,-1
hardware_fasteners_boltsLength,"8""",1,"8""",C62,,,-1
hardware_fasteners_boltsLength,"10""",1,"10""",C62,,,-1
hardware_fasteners_boltsLength,"12""",1,"12""",C62,,,-1
hardware_fasteners_boltsLength,"1 1/4""",1,"1 1/4""",C62,,,-1
hardware_fasteners_boltsLength,"1 1/2""",1,"1 1/2""",C62,,,-1
hardware_fasteners_boltsLength,"2""",1,"2""",C62,,,-1
hardware_fasteners_boltsLength,"2 1/4""",1,"2 1/4""",C62,,,-1
hardware_fasteners_boltsLength,"3""",1,"3""",C62,,,-1
hardware_fasteners_boltsLength,"2 1/2""",1,"2 1/2""",C62,,,-1
hardware_fasteners_boltsLength,"1""",1,"1""",C62,,,-1
hardware_fasteners_boltsMaterial,Stainless steel,1,Stainless steel,C62,,,-1
hardware_fasteners_boltsMaterial,Alloy steel,1,Alloy steel,C62,,,-1
hardware_fasteners_boltsMaterial,Brass,1,Brass,C62,,,-1
hardware_fasteners_nutsMaterial,Stainless steel,1,Stainless steel,C62,,,-1
hardware_fasteners_nutsMaterial,Alloy steel,1,Alloy steel,C62,,,-1
hardware_fasteners_nutsMaterial,Brass,1,Brass,C62,,,-1
hardware_fasteners_nutsWidth,"1/2""",1,"1/2""",C62,,,-1
hardware_fasteners_nutsWidth,"3/4""",1,"3/4""",C62,,,-1
hardware_fasteners_nutsWidth,"9/16""",1,"9/16""",C62,,,-1
hardware_fasteners_nutsWidth,"3/8""",1,"3/8""",C62,,,-1
hardware_fasteners_nutsWidth,"15/16""",1,"15/16""",C62,,,-1
hardware_fasteners_nutsWidth,"1 1/4""",1,"1 1/4""",C62,,,-1
hardware_fasteners_nutsWidth,"1 1/2""",1,"1 1/2""",C62,,,-1
hardware_fasteners_nutsWidth,"5/16""",1,"5/16""",C62,,,-1
hardware_fasteners_nutsFinish,Zinc,1,Zinc,C62,,,-1
hardware_fasteners_nutsFinish,Hot dipped galvanized,1,Hot dipped galvanized,C62,,,-1
hardware_fasteners_nutsHeight,"23/64""",1,"23/64""",C62,,,-1
hardware_fasteners_nutsHeight,"15/16""",1,"15/16""",C62,,,-1
hardware_fasteners_nutsHeight,"3/8""",1,"3/8""",C62,,,-1
hardware_fasteners_nutsHeight,"41/64""",1,"41/64""",C62,,,-1
hardware_fasteners_nutsHeight,"15/32""",1,"15/32""",C62,,,-1
hardware_fasteners_nutsHeight,"5/8""",1,"5/8""",C62,,,-1
hardware_fasteners_nutsHeight,"1/8""",1,"1/8""",C62,,,-1
hardware_fasteners_nutsHeight,"3/16""",1,"3/16""",C62,,,-1
hardware_fasteners_nutsHeight,"1 1/4""",1,"1 1/4""",C62,,,-1
hardware_fasteners_nutsHeight,"1 1/2""",1,"1 1/2""",C62,,,-1
hardware_fasteners_nutsHeight,"1""",1,"1""",C62,,,-1
hardware_fasteners_nutsHeight,"2""",1,"2""",C62,,,-1
hardware_fasteners_nutsHeight,"9/16""",1,"9/16""",C62,,,-1
hardware_fasteners_nutsThread size,"1/4""-20",1,"1/4""-20",C62,,,-1
hardware_fasteners_nutsThread size,"1/4""-28",1,"1/4""-28",C62,,,-1
hardware_fasteners_nutsThread size,"5/16""-18",1,"5/16""-18",C62,,,-1
hardware_fasteners_nutsThread size,"5/16""-24",1,"5/16""-24",C62,,,-1
hardware_fasteners_nutsThread size,"3/8""-16",1,"3/8""-16",C62,,,-1
hardware_fasteners_nutsThread size,"7/16""-14",1,"7/16""-14",C62,,,-1
hardware_fasteners_nutsThread size,"1/2""-10",1,"1/2""-10",C62,,,-1
SearchAge,2 years,1,2 years,,http://s7d2.scene7.com/is/image/Mattel/{0}2Years?$cat%5Fthumbs$,,-1
SearchAge,5 years,1,5 years,,http://s7d2.scene7.com/is/image/Mattel/{0}5Years?$cat%5Fthumbs$,,-1
SearchAge,Baby-on-the-way,1,Baby-on-the-way,,http://s7d2.scene7.com/is/image/Mattel/{0}BabyOnTheWay?$cat%5Fthumbs$,,-1
SearchAge,4 years,1,4 years,,http://s7d2.scene7.com/is/image/Mattel/{0}4Years?$cat%5Fthumbs$,,-1
SearchAge,3 years,1,3 years,,http://s7d2.scene7.com/is/image/Mattel/{0}3Years?$cat%5Fthumbs$,,-1
SearchAge,5 years10051,1,5 years,,http://s7d2.scene7.com/is/image/Mattel/{0}5Years?$cat%5Fthumbs$,,-1
SearchAge,6-7 years,1,6-7 years,,,,-1
SearchAge,11-12 years,1,11-12 years,,,,-1
SearchAge,1 year,2,1 year,,http://s7d2.scene7.com/is/image/Mattel/{0}1Year?$cat%5Fthumbs$,,-1
SearchAge,Adult,1,Adult,,,,-1
SearchAge,4 years10051,1,4 years,,http://s7d2.scene7.com/is/image/Mattel/{0}4Years?$cat%5Fthumbs$,,-1
SearchAge,8-10 years,1,8-10 years,,,,-1
SearchAge,Birth - 5 months,1,Birth - 5 months,,http://s7d2.scene7.com/is/image/Mattel/{0}Birth5Months?$cat%5Fthumbs$,,-1
SearchAge,6-11 months,1,18-24 months,,http://s7d2.scene7.com/is/image/Mattel/{0}6to11Months?$cat%5Fthumbs$,,-1
SearchAge,3 years10051,1,3 years,,http://s7d2.scene7.com/is/image/Mattel/{0}3Years?$cat%5Fthumbs$,,-1
SearchAge,13+ years,1,13+ years,,,,-1
MarketingAge,8 &amp; Up,1,8 &amp; Up,,,,-1
MarketingAge,4-5 years,1,4-5 years,,,,-1
MarketingAge,6,1,6,,,,-1
MarketingAge,4 &amp; Up,1,4 &amp; Up,,,,-1
MarketingAge,8 &amp; up,1,8 &amp; up,,,,-1
MarketingAge,12 &amp; up,1,12 &amp; up,,,,-1
MarketingAge,12 &amp; Up,1,12 &amp; Up,,,,-1
MarketingAge,6 &amp; up,1,6 &amp; up,,,,-1
MarketingAge,13 &amp; up,1,13 &amp; up,,,,-1
MarketingAge,3 &amp; Up,1,3 &amp; Up,,,,-1
MarketingAge,Adult,1,Adult,,,,-1
CountryOrigin,MX,1,MX,,,,-1
CountryOrigin,MY,1,MY,,,,-1
CountryOrigin,CA,1,CA,,,,-1
CountryOrigin,CH,1,CH,,,,-1
CountryOrigin,Imported,1,Imported,,,,-1
CountryOrigin,ID,1,ID,,,,-1
CountryOrigin,TH,1,TH,,,,-1
CountryOrigin,Indonesia,1,Indonesia,,,,-1
MarketingAge,3 and older,1,3 and older,,,,-1
MarketingAge,6 &amp; Up,1,6 &amp; Up,,,,-1
MarketingAge,7 &amp; up,1,7 &amp; up,,,,-1
MarketingAge,7 &amp; Up,1,7 &amp; Up,,,,-1
MarketingAge,"8 &amp; up,Adult",1,"8 &amp; up,Adult",,,,-1
MarketingAge,5 &amp; Up,1,5 &amp; Up,,,,-1
MarketingAge,5 &amp; up,1,5 &amp; up,,,,-1
MarketingAge,3 &amp; up,1,3 &amp; up,,,,-1
MarketingAge,13 &amp; Up,1,13 &amp; Up,,,,-1
MarketingAge,"8 &amp; Up,Adult",1,"8 &amp; Up,Adult",,,,-1
MarketingAge,4 &amp; up,1,4 &amp; up,,,,-1
LegalAge,8 &amp; Up,1,8 &amp; Up,,,,-1
LegalAge,7 &amp; Up,1,7 &amp; Up,,,,-1
LegalAge,12 &amp; up,1,12 &amp; up,,,,-1
LegalAge,6 &amp; Up,1,6 &amp; Up,,,,-1
LegalAge,6 &amp; up,1,6 &amp; up,,,,-1
LegalAge,12 &amp; Up,1,12 - 36M,,,,-1
LegalAge,6,1,6,,,,-1
LegalAge,8 &amp; up,1,8 &amp; up,,,,-1
LegalAge,5 &amp; Up,1,5 &amp; Up,,,,-1
LegalAge,7 &amp; up,1,7 &amp; up,,,,-1
LegalAge,4-5 years,1,4-5 years,,,,-1
LegalAge,"8 &amp; up,Adult",1,"8 &amp; up,Adult",,,,-1
LegalAge,13 &amp; Up,1,13 &amp; Up,,,,-1
LegalAge,Adult,1,Adult,,,,-1
LegalAge,3 &amp; Up,1,3 &amp; Up,,,,-1
LegalAge,4 &amp; up,1,4 &amp; up,,,,-1
LegalAge,13 &amp; up,1,13 &amp; up,,,,-1
LegalAge,4 &amp; Up,1,4 &amp; Up,,,,-1
LegalAge,3 &amp; up,1,3 &amp; up,,,,-1
LegalAge,5 &amp; up,1,5 &amp; up,,,,-1
LegalAge,"8 &amp; Up,Adult",1,"8 &amp; Up,Adult",,,,-1
LegalAge,3 and older,1,3 and older,,,,-1
RibbonAd_AwardWinner,RibbonAd_AwardWinner,2,RibbonAd_AwardWinner,,,,-1
RibbonAd_Exclusive,RibbonAd_Exclusive,2,RibbonAd_Exclusive,,,,-1
RibbonAd_New,RibbonAd_New,2,RibbonAd_New,,,,-1
RibbonAd_Sale,RibbonAd_Sale,2,RibbonAd_Sale,,,,-1
RibbonAd_TopSeller,RibbonAd_TopSeller,2,RibbonAd_TopSeller,,,,-1
BoysTopsSize,XS,1,XS,C62,,,-1
BoysTopsSize,S,1,S,C62,,,-1
BoysTopsSize,M,1,M,C62,,,-1
BoysTopsSize,L,1,L,C62,,,-1
BoysTopsSize,XL,1,XL,C62,,,-1
BoysTopsSize,2T,1,2T,C62,,,-1
BoysTopsSize,3T,1,3T,C62,,,-1
BoysTopsSize,4T,1,4T,C62,,,-1
BoysTopsSize,5T,1,5T,C62,,,-1
BoysTopsSize,6,1,6,C62,,,-1
BoysTopsSize,8,1,8,C62,,,-1
BoysTopsSize,10,1,10,C62,,,-1
BoysTopsColor,Orange,1,Orange,C62,,,-1
BoysTopsColor,Green,1,Green,C62,,,-1
BoysTopsColor,Multi-color,1,Multi-color,C62,,,-1
BoysTopsColor,Blue,1,Blue,C62,,,-1
BoysTopsColor,Brown,1,Brown,C62,,,-1
BoysTopsColor,White,1,White,C62,,,-1
VitaminsCategory,Vitamins and minerals,1,Vitamins and minerals,C62,,,-1
VitaminsCategory,Health booster,1,Health booster,C62,,,-1
VitaminsCategory,Naturopathic,1,Naturopathic,C62,,,-1
VitaminsType,Bar,1,Bar,C62,,,-1
VitaminsType,Capsule,1,Capsule,C62,,,-1
VitaminsType,Pill,1,Pill,C62,,,-1
BathAccessoriesColor,Silver,1,Silver,C62,,,-1
BathAccessoriesColor,Blue,1,Blue,C62,,,-1
BathAccessoriesColor,Yellow,1,Yellow,C62,,,-1
BathAccessoriesColor,White,1,White,C62,,,-1
BathAccessoriesColor,Clear,1,Clear,C62,,,-1
BathAccessoriesColor,Orange,1,Orange,C62,,,-1
BathAccessoriesColor,Green,1,Green,C62,,,-1
BathAccessoriesSize,"24""",1,"24""",C62,,,-1
BathAccessoriesSize,"24"" x 10""",1,"24"" x 10""",C62,,,-1
BathAccessoriesSize,"32"" x 54""",1,"32"" x 54""",C62,,,-1
BathAccessoriesSize,"3"" x 4""",1,"3"" x 4""",C62,,,-1
BathAccessoriesSize,"3"" W x 17"" H x 4"" D",1,"3"" W x 17"" H x 4"" D",C62,,,-1
BathAccessoriesSize,"4"" x 3""",1,"4"" x 3""",C62,,,-1
BathAccessoriesSize,"3"" x 6""",1,"3"" x 6""",C62,,,-1
BathAccessoriesSize,4 pc. set,1,4 pc. set,C62,,,-1
BathAccessoriesSize,4 pc. Set,1,4 pc. Set,C62,,,-1
BathAccessoriesSize,"4"" x 4""",1,"4"" x 4""",C62,,,-1
BathAccessoriesSize,"4"" x 8""",1,"4"" x 8""",C62,,,-1
BathAccessoriesSize,"4"" x 6""",1,"4"" x 6""",C62,,,-1
MenSuitsColor,Dark gray,1,Dark gray,C62,,,-1
MenSuitsColor,Black,1,Black,C62,,,-1
MenSuitsColor,Gray,1,Gray,C62,,,-1
MenSuitsColor,Navy,1,Navy,C62,,,-1
MenSuitsSize,38R,1,38R,C62,,,-1
MenSuitsSize,40R,1,40R,C62,,,-1
MenSuitsSize,42R,1,42R,C62,,,-1
MenSuitsSize,42L,1,42L,C62,,,-1
MenSuitsSize,44R,1,44R,C62,,,-1
MenSuitsSize,44L,1,44L,C62,,,-1
MenSuitsSize,38L,1,38L,C62,,,-1
MenSuitsSize,46R,1,46R,C62,,,-1
MenSuitsSize,46L,1,46L,C62,,,-1
MenSuitsSize,50R,1,50R,C62,,,-1
MenSuitsSize,50L,1,50L,C62,,,-1
MenSuitsSize,52R,1,52R,C62,,,-1
MenSuitsSize,52L,1,52L,C62,,,-1
MenSuitsSize,48L,1,48L,C62,,,-1
MenSuitsSize,40L,1,40L,C62,,,-1
TablewareColor,Clear,1,Clear,C62,,,-1
TablewareColor,Silver,1,Silver,C62,,,-1
TablewareColor,White,1,White,C62,,,-1
TablewareColor,Red,1,Red,C62,,,-1
TablewareColor,Blue,1,Blue,C62,,,-1
fulfillmentFrequency,1,1,1,MON,,,-1
paymentFrequency,0,1,0,DAY,,,-1
timePeriod,1,1,1,ANN,,,-1
timePeriod,2,1,2,ANN,,,-1
AppliancesColor,White,1,White,C62,,,-1
AppliancesColor,Silver,1,Silver,C62,,,-1
AppliancesColor,Black,1,Black,C62,,,-1
AppliancesColor,Gray,1,Gray,C62,,,-1
AppliancesColor,Red,1,Red,C62,,,-1
AppliancesColor,Green,1,Green,C62,,,-1
AppliancesColor,Blue,1,Blue,C62,,,-1
AppliancesColor,Gold,1,Gold,C62,,,-1
swatchSize,S,1,S,,images/catalog/apparel/women/Swatches/swatch_size/size_s_enabled.png,,-1
swatchSize,M,1,M,,images/catalog/apparel/women/Swatches/swatch_size/size_m_enabled.png,,-1
swatchSize,L,1,L,,images/catalog/apparel/women/Swatches/swatch_size/size_l_enabled.png,,-1
swatchSize,XS,1,XS,,images/catalog/apparel/women/Swatches/swatch_size/size_xs_enabled.png,,-1
swatchSize,XL,1,XL,,images/catalog/apparel/women/Swatches/swatch_size/size_xl_enabled.png,,-1
swatchSize,2XL,1,2XL,,images/catalog/apparel/women/Swatches/swatch_size/size_xxl_enabled.png,,-1
swatchcolor,Red,1,Red,,images/catalog/apparel/women/Swatches/swatch_red.png,,-1
swatchcolor,Teal,1,Teal,,images/catalog/apparel/women/Swatches/swatch_teal.png,,-1
swatchcolor,Yellow,1,Yellow,,images/catalog/apparel/women/Swatches/swatch_yellow.png,,-1
swatchcolor,Gray,1,Gray,,images/catalog/apparel/women/Swatches/swatch_gray.png,,-1
swatchcolor,Orange,1,Orange,,images/catalog/apparel/women/Swatches/swatch_orange.png,,-1
swatchcolor,Blue,1,Blue,,images/catalog/apparel/women/Swatches/swatch_blue.png,,-1
swatchcolor,Purple,1,Purple,,images/catalog/apparel/women/Swatches/swatch_purple.png,,-1
swatchcolor,White,1,White,,images/catalog/apparel/women/Swatches/swatch_white.png,,-1
swatchcolor,Silver,1,Silver,,images/catalog/apparel/women/Swatches/swatch_silver.png,,-1
swatchcolor,Brown,1,Brown,,images/catalog/apparel/women/Swatches/swatch_brown.png,,-1
swatchcolor,Pink,1,Pink,,images/catalog/apparel/women/Swatches/swatch_pink.png,,-1
swatchcolor,Light Blue,1,Light Blue,,images/catalog/apparel/women/Swatches/swatch_lightblue.png,,-1
swatchcolor,Violet,1,Violet,,images/catalog/apparel/women/Swatches/swatch_purple.png,,-1
swatchcolor,Black,1,Black,,images/catalog/apparel/women/Swatches/swatch_black.png,,-1
swatchcolor,Beige,1,Beige,,images/catalog/apparel/women/Swatches/swatch_beige.png,,-1
swatchcolor,Dark Blue,1,Dark Blue,,images/catalog/apparel/women/Swatches/swatch_navy.png,,-1
swatchcolor,Gold,1,Gold,,images/catalog/apparel/women/Swatches/swatch_gold.png,,-1
swatchcolor,Green,1,Green,,images/catalog/apparel/women/Swatches/swatch_green.png,,-1
construction,Knit,1,Knit,,,,-1
construction,Woven,1,Woven,,,,-1
length,Short,1,Short,,,,-1
length,Mid Length,1,Mid Length,,,,-1
length,Long,1,Long,,,,-1
material,Synthetic,1,Synthetic,,,,-1
material,Georgette,1,Georgette,,,,-1
material,Cotton blend,1,Cotton blend,,,,-1
material,100% cotton,1,100% cotton,,,,-1
material,Silk,1,Silk,,,,-1
material,Denim,1,Denim,,,,-1
GirlsPantsColor,Blue,1,Blue,C62,,,-1
GirlsPantsColor,Gray,1,Gray,C62,,,-1
GirlsPantsSize,2T,1,2T,C62,,,-1
GirlsPantsSize,3T,1,3T,C62,,,-1
GirlsPantsSize,4T,1,4T,C62,,,-1
GirlsPantsSize,5T,1,5T,C62,,,-1
GirlsPantsSize,6,1,6,C62,,,-1
GirlsPantsSize,8,1,8,C62,,,-1
GirlsPantsSize,10,1,10,C62,,,-1
GirlsPantsSize,12,1,12,C62,,,-1
GirlsPantsSize,14,1,14,C62,,,-1
GirlsPantsSize,12 mos,1,12 mos,C62,,,-1
GirlsPantsSize,18 mos,1,18 mos,C62,,,-1
GirlsPantsSize,24 mos,1,24 mos,C62,,,-1
GirlsShoesColor,Black,1,Black,C62,,,-1
GirlsShoesColor,Pink,1,Pink,C62,,,-1
GirlsShoesColor,Silver,1,Silver,C62,,,-1
GirlsShoesColor,Red,1,Red,C62,,,-1
GirlsShoesColor,Multi-Color,1,Multi-Color,C62,,,-1
GirlsShoesSize,6,1,6,C62,,,-1
GirlsShoesSize,7,1,7,C62,,,-1
GirlsShoesSize,8,1,8,C62,,,-1
GirlsShoesSize,9,1,9,C62,,,-1
GirlsShoesSize,10,1,10,C62,,,-1
GirlsShoesSize,11,1,11,C62,,,-1
GirlsShoesSize,12,1,12,C62,,,-1
GirlsShoesSize,13,1,13,C62,,,-1
GirlsShoesSize,2T,1,2T,C62,,,-1
GirlsShoesSize,3T,1,3T,C62,,,-1
GirlsShoesSize,4T,1,4T,C62,,,-1
GirlsShoesSize,5T,1,5T,C62,,,-1
GirlsShoesSize,12 mos,1,12 mos,C62,,,-1
GirlsShoesSize,18 mos,1,18 mos,C62,,,-1
GirlsShoesSize,24 mos,1,24 mos,C62,,,-1
material,Wool,1,Wool,,,,-1
occasion,Cocktail & Evening,1,Cocktail & Evening,,,,-1
occasion,Casual,1,Casual,,,,-1
occasion,Career,1,Career,,,,-1
occasion,"Career, Casual",1,"Career, Casual",,,,-1
occasion,"Cocktail & Evening, Casual",1,"Cocktail & Evening, Casual",,,,-1
WomenHandbagsColor,Black,1,Black,,,,-1
WomenHandbagsColor,White,1,White,,,,-1
WomenHandbagsColor,Multi-color,1,Multi-color,,,,-1
WomenHandbagsColor,Red,1,Red,,,,-1
WomenHandbagsColor,Beige,1,Beige,,,,-1
WomenHandbagsColor,Blue,1,Blue,,,,-1
WomenHandbagsColor,Brown,1,Brown,,,,-1
WomenHandbagsColor,Silver,1,Silver,,,,-1
WomenAccessoriesColor,Blue,1,Blue,,,,-1
WomenAccessoriesColor,Brown,1,Brown,,,,-1
WomenAccessoriesColor,Gray,1,Gray,,,,-1
WomenAccessoriesColor,Purple,1,Purple,,,,-1
WomenAccessoriesColor,Yellow,1,Yellow,,,,-1
WomenAccessoriesColor,Black,1,Black,,,,-1
WomenAccessoriesColor,Pink,1,Pink,,,,-1
WomenAccessoriesColor,Multi-color,1,Multi-color,,,,-1
WomenAccessoriesSize,6 3/4,1,6 3/4,,,,-1
WomenAccessoriesSize,7,1,7,,,,-1
WomenAccessoriesSize,7 1/4,1,7 1/4,,,,-1
WomenAccessoriesSize,7 1/2,1,7 1/2,,,,-1
WomenAccessoriesSize,7 3/4,1,7 3/4,,,,-1
WomenAccessoriesSize,32,1,32,,,,-1
WomenAccessoriesSize,34,1,34,,,,-1
WomenAccessoriesSize,36,1,36,,,,-1
WomenAccessoriesSize,40,1,40,,,,-1
WomenAccessoriesSize,42,1,42,,,,-1
WomenAccessoriesSize,44,1,44,,,,-1
GirlsTopsColor,Multi-color,1,Multi-color,C62,,,-1
GirlsTopsColor,Blue,1,Blue,C62,,,-1
GirlsTopsColor,Pink,1,Pink,C62,,,-1
GirlsTopsColor,Green,1,Green,C62,,,-1
GirlsTopsColor,White,1,White,C62,,,-1
GirlsTopsColor,Red,1,Red,C62,,,-1
GirlsTopsColor,Brown,1,Brown,C62,,,-1
GirlsTopsColor,Orange,1,Orange,C62,,,-1
GirlsTopsColor,Purple,1,Purple,C62,,,-1
GirlsTopsSize,12 Mos,1,12 Mos,C62,,,-1
GirlsTopsSize,18 Mos,1,18 Mos,C62,,,-1
GirlsTopsSize,24 Mos,1,24 Mos,C62,,,-1
GirlsTopsSize,2T,1,2T,C62,,,-1
GirlsTopsSize,3T,1,3T,C62,,,-1
GirlsTopsSize,4T,1,4T,C62,,,-1
GirlsTopsSize,5T,1,5T,C62,,,-1
GirlsTopsSize,6,1,6,C62,,,-1
GirlsTopsSize,8,1,8,C62,,,-1
GirlsTopsSize,10,1,10,C62,,,-1
GirlsTopsSize,12,1,12,C62,,,-1
GirlsTopsSize,14,1,14,C62,,,-1
GirlsTopsSize,XS,1,XS,C62,,,-1
GirlsTopsSize,S,1,S,C62,,,-1
GirlsTopsSize,M,1,M,C62,,,-1
GirlsTopsSize,L,1,L,C62,,,-1
GirlsTopsSize,XL,1,XL,C62,,,-1
MenJacketsColor,Taupe,1,Taupe,C62,,,-1
MenJacketsColor,Tan,1,Tan,C62,,,-1
MenJacketsColor,Black,1,Black,C62,,,-1
MenJacketsColor,Cream,1,Cream,C62,,,-1
MenJacketsColor,Gray,1,Gray,C62,,,-1
MenJacketsColor,Brown,1,Brown,C62,,,-1
MenJacketsColor,Light brown,1,Light brown,C62,,,-1
MenJacketsSize,XS,1,XS,C62,,,-1
MenJacketsSize,S,1,S,C62,,,-1
MenJacketsSize,M,1,M,C62,,,-1
MenJacketsSize,L,1,L,C62,,,-1
MenJacketsSize,XL,1,XL,C62,,,-1
MenJacketsSize,XXL,1,XXL,C62,,,-1
MenAccessoriesSize,XS,1,XS,C62,,,-1
MenAccessoriesSize,S,1,S,C62,,,-1
MenAccessoriesSize,M,1,M,C62,,,-1
MenAccessoriesSize,L,1,L,C62,,,-1
MenAccessoriesSize,XL,1,XL,C62,,,-1
MenAccessoriesSize,XXL,1,XXL,C62,,,-1
MenAccessoriesSize,Extra long,1,Extra long,C62,,,-1
MenAccessoriesSize,Regular length,1,Regular length,C62,,,-1
MenAccessoriesColor,Tan,1,Tan,C62,,,-1
MenAccessoriesColor,Caramel,1,Caramel,C62,,,-1
MenAccessoriesColor,Black,1,Black,C62,,,-1
MenAccessoriesColor,Cream,1,Cream,C62,,,-1
MenAccessoriesColor,Orange,1,Orange,C62,,,-1
MenAccessoriesColor,Navy/yellow stripe,1,Navy/yellow stripe,C62,,,-1
MenAccessoriesColor,Blue/gray stripe,1,Blue/gray stripe,C62,,,-1
